Location,MMWR_week,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_5Plus,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Age_65Plus_percentage,majority_old_people_impacted
NE,1,33874815,1328700,11410420,20233120,0,1751172,1828517.0,2038932,2261336,10554320,27187295,26825162.0,26078187,24448960,7455690,813773,9892033,16426136,54991.0,1405459,1487372.0,1612344,1676498,2386143,26920736,11741351,607.0,11727251.0,650.3,11307445,699.2,10491792,719.5,2737499,855.0,10583204,547.3,10575781.0,586.4,10270442,635.0,9540512,654.2,2557885,818.6,768866,3658050,6140823,13992.0,768660,3652203,5835611,13844.0,768077,3650636,5108505,13177.0,61682,1242138,1245975,8076.0,386.8,4476047.0,421.4,3009345.0,543.6,1802036.0,633.7,1806981.0,2708069.0,45152.0,3269.0,31.156834362047437,1.0
NE,2,31445940,1190900,10527300,18453140,0,1625610,1673217.0,1865760,2069274,9657930,24893535,24273081.0,23560265,22068184,6700233,729232,9041373,15072497,50069.0,1286881,1345866.0,1456668,1513246,2144364,24358911,10520430,543.8,10506362.0,582.6,10111392,625.1,9378873,643.3,2438769,760.0,9474406,489.7,9466897.0,524.8,9171504,567.2,8516400,584.0,2277791,729.0,686276,3264339,5509626,12681.0,686092,3258393,5214363,12532.0,685571,3256954,4561851,11907.0,54953,1105965,1109616,7243.0,360.8,4174308.0,391.5,2764030.0,498.3,1636403.0,574.3,1687092.0,2549434.0,43215.0,3086.0,30.712804260263805,0.0
NE,3,28460330,1044300,9329040,16469690,0,1471271,1488677.0,1659986,1841055,8592750,22326137,21529708.0,20876720,19537116,5924222,640653,8143103,13497152,44842.0,1154158,1193757.0,1290752,1339687,1896006,21675598,9303109,481.0,9289105.0,515.1,8930276,552.1,8279109,567.7,2145975,665.0,8357290,431.9,8349642.0,462.9,8077782,499.5,7496601,514.0,1997741,639.3,606414,2871003,4867092,11271.0,606252,2864954,4595319,11126.0,605792,2863661,4016468,10557.0,48363,969896,973086,6381.0,324.5,3765027.0,351.2,2470119.0,443.8,1453531.0,508.9,1522021.0,2321657.0,38750.0,2850.0,30.19202518031239,0.0
NE,4,32614945,1195900,10640200,18910320,0,1686043,1705114.0,1901327,2108723,9842020,25748577,24704900.0,23939848,22385360,6753386,733348,9425237,15538384,51214.0,1331084,1369809.0,1480136,1534994,2161373,24906679,10687947,552.5,10673557.0,591.8,10253019,633.8,9501975,651.3,2457785,760.0,9588443,495.6,9580618.0,531.3,9258927,572.4,8589666,589.0,2283836,730.8,696140,3287304,5590633,12848.0,695956,3281135,5269012,12689.0,695428,3279672,4602388,12051.0,55430,1109009,1112076,7305.0,378.0,4383649.0,407.9,2857241.0,512.9,1674047.0,586.2,1772840.0,2715654.0,44733.0,3197.0,30.176411457998782,0.0
NE,5,33221755,1195900,10692400,19084230,0,1717413,1717652.0,1915308,2124229,9914410,26242110,24868293.0,24079266,22505343,6774013,737404,9661534,15790611,52164.0,1356597,1378869.0,1488756,1543223,2167976,25070524,10724239,554.3,10709710.0,593.7,10279104,635.4,9524173,653.0,2459792,760.0,9625997,497.6,9618060.0,533.2,9282545,573.8,8609183,590.2,2285487,731.3000000000001,697601,3293199,5620683,12988.0,697417,3286943,5285230,12820.0,696888,3285452,4614553,12163.0,55500,1109741,1112904,7326.0,383.3,4456659.0,413.6,2891847.0,518.6,1688317.0,590.6,1802749.0,2767693.0,47217.0,3299.0,29.843125385760022,0.0
NE,6,33860890,1197000,10756600,19202790,0,1750451,1727847.0,1926674,2164778,9973240,26761811,25011546.0,24199101,22870073,6791096,742253,9930317,16035068,53772.0,1383463,1386812.0,1496166,1568233,2173443,25489985,10946746,566.0,10743002.0,595.8,10303571,637.2,9726179,667.0,2461923,760.0,9667425,499.7,9659370.0,535.6,9309009,575.6,8630871,591.7,2287105,731.8,699210,3300423,5653150,13110.0,699026,3294075,5302840,12931.0,698487,3292559,4627440,12256.0,55542,1110491,1113711,7345.0,387.3,4512478.0,417.9,2918326.0,522.8000000000001,1699234.0,594.1,1825094.0,2807325.0,50268.0,3348.0,29.453567227559585,0.0
NE,7,34448830,1197400,10915360,19298370,0,1780848,1741977.0,1942431,2362206,10054800,27347708,25146438.0,24318666,24824112,6809569,746370,10236948,16308495,55487.0,1413750,1394291.0,1503557,1702225,2179354,27493121,12262814,633.8,10767299.0,597.0,10322907,638.3,11001306,754.6,2463473,760.0,9699492,501.5,9691318.0,537.3,9330565,576.8,8648562,593.1,2288632,732.3,700652,3306753,5677338,13213.0,700466,3300308,5316627,13025.0,699923,3298767,4637400,12341.0,55618,1111169,1114453,7376.0,389.7,4552353.0,420.9,2937889.0,525.7,1707327.0,596.6,1841928.0,2834504.0,51605.0,3386.0,29.18763859324105,0.0
NE,8,35433850,1197700,11086040,19377530,0,1831769,1755851.0,1957903,2429747,10134910,28165199,25276617.0,24434685,25666432,6827539,749116,10549146,16808818,57709.0,1456012,1401510.0,1510732,1759982,2185105,28259326,12717219,657.2,10787484.0,598.0,10339110,639.1,11488609,787.8,2464841,760.0,9728102,502.9,9719837.0,538.9,9349033,578.1,8663585,594.2,2289975,732.6999999999999,701486,3311878,5699879,13318.0,701288,3305376,5329109,13119.0,700742,3303818,4646472,12421.0,55649,1111801,1115094,7415.0,391.8,4585795.0,423.3,2954855.0,528.3,1714397.0,598.6,1856226.0,2858972.0,51888.0,3422.0,28.602339288561645,0.0
NE,9,36341330,1239600,11827540,20136620,0,1878679,1762548.0,1965370,2491977,10628597,28902422,25356545.0,24503291,26382201,7388384,750750,10861519,17229843,59893.0,1494118,1405939.0,1514973,1809064,2364600,28991911,13101824,677.4000000000001,10804659.0,599.2,10352747,639.9,11867456,813.9,2850185,883.0,10122247,523.3,9742448.0,540.1999999999999,9363953,578.9,9046887,620.3000000000001,2451547,784.4,702911,3491696,5912164,13926.0,702007,3309524,5339046,13232.0,702156,3483535,4848075,12986.0,55719,1180352,1207676,7783.0,393.7,4613582.0,425.1,2967484.0,530.0,1719470.0,600.2,1867010.0,2880467.0,52114.0,3453.0,29.246582334768707,0.0
NE,10,37306660,1357700,13801540,22140920,0,1928581,1768789.0,1972328,2558168,11939748,29720648,25411380.0,24550756,27185087,9040634,823170,11209456,17625887,61711.0,1536422,1408981.0,1517907,1864119,2893392,29813933,13605523,703.4,10816226.0,599.9,10361630,640.5,12366229,848.3,3958460,1237.4,11305127,584.3000000000001,9758660.0,540.9,9375564,579.6,10221765,700.9,2978136,953.1,776657,4024342,6486994,15582.0,702573,3312812,5346706,13327.0,775875,4015995,5415137,14621.0,61527,1414288,1493344,8960.0,394.8,4632364.0,426.6,2975996.0,531.3,1723143.0,601.1,1873811.0,2895150.0,52267.0,3493.0,32.004333810638634,1.0
